,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
244,sh.601211,2020-04-30,2020-03-31,0.013211,4.195832,,1.002854,0.296335,0.733885,,
245,sh.601211,2020-08-13,2020-06-30,0.040433,4.382783,,0.951406,0.362529,0.779421,,
246,sh.601211,2020-10-29,2020-09-30,0.065657,4.593485,,0.945266,0.367975,0.780887,,
247,sh.601211,2021-03-26,2020-12-31,0.080931,4.592293,,0.947604,0.333437,0.789209,,
248,sh.601288,2019-04-27,2019-03-31,0.036001,13.597240,,0.985995,0.359017,0.832007,,
249,sh.601288,2019-08-31,2019-06-30,0.071376,13.689438,,0.992425,0.378651,0.838957,,
250,sh.601288,2019-10-26,2019-09-30,0.100710,13.233330,,0.993839,0.382733,0.836505,,
251,sh.601288,2020-03-31,2019-12-31,0.117225,13.123063,,0.996121,0.339447,0.798737,,
252,sh.601288,2020-04-29,2020-03-31,0.032341,12.874800,,0.997235,0.344740,0.790851,,
253,sh.601288,2020-08-31,2020-06-30,0.054005,12.740515,,0.996740,0.321931,0.823734,,
254,sh.601288,2020-10-31,2020-09-30,0.080618,12.720336,,0.996528,0.332991,0.830315,,
255,sh.601288,2021-03-31,2020-12-31,0.103981,12.540700,,0.997805,0.328895,0.816450,,
256,sh.601318,2019-04-30,2019-03-31,0.078777,12.595427,,0.922816,0.130431,0.779703,,
257,sh.601318,2019-08-16,2019-06-30,0.165295,12.442818,,0.923755,0.165434,0.909660,,
258,sh.601318,2019-10-25,2019-09-30,0.216359,12.465443,,0.914066,0.158777,0.880964,,
259,sh.601318,2020-02-21,2019-12-31,0.243004,12.495955,,0.908995,0.140619,0.889715,,
260,sh.601318,2020-04-24,2020-03-31,0.038234,12.385517,,0.859201,0.092433,0.812112,,
261,sh.601318,2020-08-28,2020-06-30,0.099893,12.414479,,0.904104,0.120593,0.837021,,
262,sh.601318,2020-10-28,2020-09-30,0.149029,12.554867,,0.896851,0.125282,0.836351,,
263,sh.601318,2021-02-04,2020-12-31,0.199341,12.363683,,0.897966,0.130803,0.848720,,
264,sh.601336,2019-04-27,2019-03-31,0.048522,10.819667,,0.999703,0.067951,0.827518,,
265,sh.601336,2019-08-29,2019-06-30,0.148336,10.846009,,0.999905,0.116877,1.066114,,
266,sh.601336,2019-10-31,2019-09-30,0.178877,10.702700,,0.999923,0.097891,1.055434,,
267,sh.601336,2020-03-26,2019-12-31,0.194071,10.749937,,0.999931,0.083407,1.101278,,
